sample_id,max_lai,final_shoot_dm,final_ear_dm,mean_top20_theta,seasonal_transpiration_deficit,seasonal_potential_transpiration,seasonal_actual_transpiration,matured,maturity_date
226,4.97,396.729,251.01,0.18891868288673616,0.00917433468091966,403.19,399.491,True,2007-09-28
227,4.97,396.639,250.9,0.18890839996434297,0.009233379049678692,403.211,399.488,True,2007-09-28
228,4.98,397.675,251.9,0.19193276632178727,0.0091884218971795,405.075,401.353,True,2007-09-28
229,4.98,392.559,238.92,0.1914992413482974,0.00995972261568967,405.935,401.892,True,2007-09-28
230,4.98,398.523,241.45,0.23367752867502073,0.014086330372932387,409.404,403.637,True,2007-09-28
231,4.98,398.28,240.94,0.23367636194467292,0.014105519147564638,409.556,403.779,True,2007-09-28
232,4.87,407.506,270.51,0.2310796239500328,0.014566107074250323,419.055,412.951,True,2007-09-29
233,4.88,408.562,270.79,0.22721697942414945,0.014536560713621638,419.494,413.396,True,2007-09-29
234,4.88,392.93,255.31,0.22896710234209194,0.014355010155552184,400.766,395.013,True,2007-09-25
235,4.91,388.283,251.13,0.192899509126155,0.014356356269739745,392.927,387.286,True,2007-09-25
236,4.11,347.883,218.73,0.20239722234932933,0.013544180581394616,347.234,342.531,True,2007-09-16
237,4.11,348.112,219.05,0.20241480124570665,0.013607262577869927,347.535,342.806,True,2007-09-16
238,3.14,318.006,243.04,0.2085211438166864,0.009500445886735154,310.617,307.666,True,2007-09-14
239,4.88,390.177,253.61,0.21149926878853242,0.014835349715496826,398.238,392.33,True,2007-09-25
240,4.1,349.254,219.39,0.21960510753193382,0.013550235749061668,351.433,346.671,True,2007-09-16
241,4.08,353.465,208.28,0.21958277140672322,0.013037324416224405,354.674,350.05,True,2007-09-21
242,4.09,352.512,207.93,0.2171194125168588,0.013560078406118836,354.054,349.253,True,2007-09-21
243,4.08,352.086,207.07,0.21195776642351832,0.012123577898089488,353.526,349.24,True,2007-09-21
244,3.2,325.228,223.75,0.21661713513456185,0.008818364314369886,318.313,315.506,True,2007-09-19
245,3.2,316.323,215.41,0.1741871674445074,0.004548144641060459,337.94,336.403,True,2007-09-19
246,3.21,340.404,239.09,0.17009170144421148,0.005201152171242063,366.265,364.36,True,2007-09-28
247,3.21,339.877,239.03,0.17020073950427614,0.005281728545874942,366.736,364.799,True,2007-09-28
248,3.21,339.95,239.52,0.17027577108091102,0.005201858899577361,366.023,364.119,True,2007-09-28
249,3.21,338.96,238.18,0.17630540624277496,0.005031387845067181,364.313,362.48,True,2007-09-28
250,3.21,340.609,238.64,0.1764038066835175,0.004833447566826576,364.75,362.987,True,2007-09-28
251,3.21,346.83,244.02,0.20095406409664282,0.004934053688824935,367.041,365.23,True,2007-09-28
252,3.21,346.754,243.96,0.20097280898389921,0.004831490328940036,371.314,369.52,True,2007-09-28
253,5.78,401.249,238.91,0.20991536551295517,0.019109060765515662,416.19,408.237,False,
254,5.81,382.705,201.92,0.21415246743718147,0.018493577103284697,403.167,395.711,False,
255,5.82,383.33,202.28,0.21292102819522252,0.016933791853405933,402.745,395.925,False,
256,5.85,372.753,192.21,0.1681845982454901,0.0159294603379857,392.857,386.599,False,
257,5.85,370.391,192.11,0.1677604743308394,0.01659467077780996,393.078,386.555,False,
258,5.85,369.826,191.84,0.1678565216067657,0.01661617972841334,393.171,386.638,False,
259,5.85,368.307,190.64,0.16586127679468293,0.018258882406260613,391.645,384.494,False,
260,4.92,370.687,202.16,0.17386444756113129,0.012238182293026867,382.9,378.214,True,2007-09-29
261,4.92,373.579,204.69,0.16986391981028964,0.011746758199847496,386.745,382.202,True,2007-09-29
262,4.86,377.314,209.04,0.17092708132002976,0.011464200040024686,384.763,380.352,True,2007-09-27
263,4.86,377.146,208.9,0.17085932271533674,0.011362604814258548,385.563,381.182,True,2007-09-27
264,4.86,383.183,213.3,0.20210988503912594,0.012293223271994003,394.689,389.837,True,2007-09-27
265,3.87,370.151,245.04,0.2053500591999805,0.008732939675123674,369.864,366.634,True,2007-09-28
266,3.87,370.097,245.03,0.20531957398418357,0.008700979063438474,368.924,365.714,True,2007-09-28
267,5.31,398.19,240.68,0.20817641433891956,0.01613347567064971,406.546,399.987,True,2007-09-26
268,5.32,401.073,242.34,0.2438434756565355,0.017304798325436188,411.331,404.213,True,2007-09-26
269,5.32,401.402,242.92,0.24388230555025636,0.01725479705245747,411.19,404.095,True,2007-09-26
270,5.35,409.956,251.23,0.24292691730884605,0.017226782753879788,424.049,416.744,True,2007-09-28
271,5.35,409.912,251.34,0.24298347001872303,0.01714944686430664,424.037,416.765,True,2007-09-28
272,5.35,409.83,251.25,0.2430192317063513,0.0171659246962953,424.096,416.816,True,2007-09-28
273,5.37,406.154,248.68,0.19727366117099063,0.011820661843197744,421.55,416.567,True,2007-09-28
274,5.37,405.84,248.18,0.20251637906867637,0.011727910572006173,420.45,415.519,True,2007-09-28
275,5.38,407.355,248.31,0.2024698988318434,0.011512251221320269,420.856,416.011,True,2007-09-28
276,5.37,407.564,248.15,0.20554558734387468,0.011196536360852716,421.291,416.574,True,2007-09-28
277,5.35,387.789,211.12,0.2085737194865679,0.011313783207911876,405.965,401.372,True,2007-09-29
278,4.22,382.722,253.57,0.21238743897488138,0.008242895126165162,386.636,383.449,True,2007-09-29
279,3.53,358.525,239.8,0.21648254444254295,0.006948083136843919,366.432,363.886,True,2007-09-28
280,3.53,356.525,238.26,0.2070116052695447,0.006023672546016434,369.542,367.316,True,2007-09-28
281,3.78,359.693,278.64,0.18508001354522244,0.009514427408286785,356.301,352.911,True,2007-09-26
282,3.78,359.677,278.58,0.18518765158575715,0.009586583859340414,354.558,351.159,True,2007-09-26
283,3.78,361.728,280.61,0.1803145151696173,0.009047762796001835,357.768,354.531,True,2007-09-26
284,3.79,360.57,279.06,0.17497545584938348,0.008401981063527186,359.201,356.183,True,2007-09-26
285,3.79,360.544,279.07,0.17511662587604152,0.008398816973805512,358.741,355.728,True,2007-09-26
286,4.91,379.994,243.46,0.1652241462949279,0.013765937597180478,385.88,380.568,True,2007-09-25
287,4.92,389.629,252.85,0.19880238168564932,0.011701491940222408,399.949,395.269,True,2007-09-25
288,4.11,348.431,219.35,0.20730249792468808,0.010339875808640264,354.453,350.788,True,2007-09-16
289,4.09,352.112,222.4,0.25805657521206976,0.016339119573806404,353.079,347.31,True,2007-09-16
290,4.08,355.587,210.37,0.2579375072475072,0.01566892535140285,357.14,351.544,True,2007-09-21
291,4.08,357.841,211.29,0.2578762726701727,0.014622306085768533,357.194,351.971,True,2007-09-21
292,4.14,378.764,231.93,0.25524982941744323,0.014532969987226974,381.271,375.73,True,2007-09-27
293,4.14,379.421,231.95,0.2578870122324664,0.014049411376302667,381.653,376.291,True,2007-09-27
294,4.14,379.381,231.66,0.25789923126868153,0.014084248700318658,381.632,376.257,True,2007-09-27
295,4.48,388.358,254.17,0.2791390080199842,0.01763750407339948,395.861,388.879,True,2007-09-26
296,4.53,388.827,236.14,0.2807046479648303,0.017493516929495967,394.489,387.588,True,2007-09-27
297,4.53,388.889,236.09,0.2807082023789982,0.01745366603037468,394.473,387.588,True,2007-09-27
298,4.52,384.602,233.9,0.2421084536702861,0.017379229626055315,389.603,382.832,True,2007-09-27
299,4.56,388.411,237.32,0.2411389420868335,0.01736279716901623,397.459,390.558,True,2007-09-29
300,4.55,393.851,250.29,0.24111183846606984,0.015295027730112043,396.861,390.791,True,2007-09-29
301,5.39,401.89,249.88,0.23723579699607478,0.015295092773910834,412.616,406.305,False,
302,5.39,401.828,249.94,0.23729871106831216,0.015322439960458234,412.728,406.404,False,
303,4.23,395.303,278.64,0.24154894916125644,0.012451029530599622,391.052,386.183,False,
304,4.23,395.086,278.88,0.2415367809068068,0.012368065021853836,391.007,386.171,False,
305,4.24,394.2,278.07,0.2385862611205051,0.012768971884222546,391.026,386.033,False,
306,4.23,394.266,277.8,0.2356417843656608,0.01147809671354505,389.873,385.398,False,
307,4.24,389.64,272.95,0.1894958576142161,0.008175068749000314,387.642,384.473,False,
308,4.25,390.996,274.11,0.18365030826980427,0.008090382005839003,389.104,385.956,False,
309,5.35,398.805,229.96,0.22295573720513878,0.014200994927340949,408.07,402.275,True,2007-09-27
310,5.37,398.06,229.68,0.22678034873000388,0.014318121556727403,407.316,401.484,True,2007-09-27
311,5.37,398.039,229.63,0.22672290680313112,0.01430861339741818,407.377,401.548,True,2007-09-27
312,5.43,390.523,221.62,0.22544071696212178,0.01430312880942708,406.065,400.257,False,
313,5.41,395.176,234.75,0.22552760269324165,0.013030039149322437,405.371,400.089,False,
314,5.41,394.952,234.77,0.22551813346082447,0.013035638968297736,405.427,400.142,False,
315,4.25,388.109,265.47,0.22958139243948075,0.010519952887214745,385.458,381.403,False,
316,4.25,388.292,265.5,0.22955987954378745,0.010490208533730172,385.693,381.647,False,
317,4.25,382.963,261.5,0.19673606620865583,0.010494978763942342,377.895,373.929,False,
318,4.2,393.03,285.79,0.195075109322452,0.011048994828625536,386.551,382.28,False,
319,4.21,382.564,275.53,0.15757149474026153,0.012663475771967025,376.279,371.514,False,
320,4.21,383.516,276.67,0.16137746968798367,0.012154182064254782,378.306,373.708,False,
321,3.53,360.837,261.27,0.1695849346807091,0.008609983811234678,360.744,357.638,True,2007-09-29
322,3.53,361.63,261.96,0.17222173799677323,0.008289823837824728,365.629,362.598,True,2007-09-29
323,4.48,392.083,249.64,0.20539580752433004,0.013487937758735136,400.506,395.104,True,2007-09-28
324,4.48,392.362,249.67,0.20547030932853708,0.013538516855728266,400.487,395.065,True,2007-09-28
325,4.49,383.39,226.87,0.2078345389341759,0.012800815338556593,392.475,387.451,True,2007-09-28
326,4.49,383.308,226.65,0.20571291002561382,0.013162394034817337,391.874,386.716,True,2007-09-28
327,5.4,393.675,227.61,0.20053748514453193,0.01370813263202475,410.851,405.219,False,
328,5.4,393.753,227.81,0.20044626107441474,0.013653149115285701,410.528,404.923,False,
329,5.4,393.702,227.66,0.20046039375593147,0.013580162679285857,410.378,404.805,False,
330,5.34,399.654,233.91,0.20150610545796785,0.013717651701734224,410.493,404.862,True,2007-09-28
331,5.34,385.596,223.76,0.15779084175538519,0.012592765367261838,398.721,393.7,True,2007-09-27
332,5.33,389.295,226.63,0.16567090216784622,0.01169485740196774,401.373,396.679,True,2007-09-27
333,4.2,383.212,260.89,0.17245879571621703,0.008296972789469836,384.116,380.929,True,2007-09-28
334,4.19,380.857,258.95,0.17741459108277546,0.008366000073271151,382.142,378.945,True,2007-09-28
335,4.19,381.725,258.91,0.17731020482030826,0.008234097521360506,380.491,377.358,True,2007-09-28
336,4.2,387.286,264.27,0.20480592130467545,0.008176076456948178,390.285,387.094,True,2007-09-28
337,3.83,381.439,268.02,0.2082792751584177,0.009105730266986023,381.518,378.044,True,2007-09-28
338,3.79,379.349,278.8,0.20880750014081825,0.008774126871554544,379.297,375.969,True,2007-09-28
339,3.79,379.467,278.88,0.20869877137112958,0.008816624732869482,379.964,376.614,True,2007-09-28
340,4.92,397.796,243.8,0.2029513914233211,0.01224982999936397,408.822,403.814,True,2007-09-28
341,4.89,382.082,212.17,0.2068116552976477,0.012115446247643602,396.271,391.47,True,2007-09-28
